Quantity,MinPrice,MaxPrice,ModePrice
20,2350,2750,2700
20,2350,2750,2700
20,2350,2750,2700
25,2350,2750,2700
25,2350,2750,2700
20,2350,2750,2700
25,2350,2750,2700
30,2350,2750,2700
25,2350,2750,2700
20,2350,2750,2700
20,2350,2750,2700
20,2350,2750,2700
30,2350,2650,2600
25,2350,2650,2600
23,2350,2850,2700
25,2350,2850,2700
22,2350,2850,2700
29,2350,2850,2700
27,2350,2850,2700
25,2300,2900,2750
20,2300,2900,2750
25,2300,2900,2750
25,2300,2900,2750
20,2400,2900,2750
20,2400,2900,2750
25,2400,2900,2750
20,2400,2900,2750
20,2400,2900,2750
25,2400,2900,2750
25,2400,2900,2750
20,2400,3000,2750
20,2400,3000,2750
22,2400,3000,2750
25,2400,3000,2750
25,2400,3000,2750
25,2400,3000,2750
20,2400,3000,2750
20,2400,3000,2750
25,2400,2850,2750
30,2400,2850,2750
30,2400,2850,2750
30,2400,2850,2750
25,2400,3000,2800
30,2400,3000,2800
25,2400,3000,2800
25,2400,3000,2800
27,2400,3000,2800
20,2350,2850,2750
25,2350,2850,2750
28,2350,2850,2750
30,2350,2850,2750
30,2350,2850,2750
40,2350,2850,2750
30,2350,2850,2750
25,2350,2850,2750
25,2350,2850,2750
20,2350,2850,2750
25,2350,2850,2750
25,2200,2900,2750
25,2200,2900,2750
26,2200,2900,2750
27,2200,2900,2750
29,2200,2900,2750
32,2200,2900,2750
30,2200,2900,2750
25,2200,2900,2750
30,2200,2900,2750
29,2200,2900,2750
30,2200,2900,2750
30,2300,2900,2750
28,2300,2900,2750
