Quantity,MinPrice,MaxPrice,ModePrice
737,400,751,650
573,400,752,650
560,300,730,630
275,460,800,660
547,400,763,690
500,355,755,650
784,300,679,581
455,351,700,575
552,351,705,580
222,360,640,560
556,491,751,560
662,375,640,560
120,341,731,630
456,352,666,560
123,399,800,721
455,351,700,620
789,541,822,751
456,400,739,671
789,400,822,751
123,401,763,700
445,500,790,700
556,400,700,610
568,400,760,700
895,351,700,620
523,150,900,600
652,150,875,550
512,200,775,525
352,200,875,500
2228,1000,1707,1300
1212,751,1601,1401
2354,900,1656,1251
2387,900,1601,1251
2295,900,1530,1251
2318,800,1496,1200
2713,700,1481,1251
452,700,1481,1251
1800,600,1410,1100
2337,600,1372,1100
1957,600,1395,1050
2249,600,1480,1100
2167,600,1446,1150
1773,800,1410,1100
2205,800,1426,1100
2654,800,1470,1100
2171,800,1394,1100
2401,600,1425,1100
2530,800,1366,1150
2501,500,1411,1150
2363,700,1447,1125
2061,500,1465,1050
2327,500,1400,1100
1098,500,1366,1050
193,700,1351,1251
442,600,1251,1100
437,500,1300,1121
481,625,1220,1111
487,500,1214,1100
511,500,1120,951
492,400,1100,925
457,451,1067,930
402,400,1111,951
116,600,1154,1000
403,600,1152,1000
432,500,1151,1000
514,500,1140,1000
477,500,1100,1000
206,500,1108,970
540,500,1100,950
584,400,1100,951
551,600,1087,925
287,400,1090,925
452,500,925,851
123,400,951,751
425,500,876,741
457,400,941,750
268,500,900,800
458,400,802,700
152,500,952,825
457,400,851,720
412,500,862,725
152,400,800,701
1615,500,900,800
124,400,825,725
219,500,930,800
289,400,790,675
144,500,888,801
169,400,831,750
196,500,799,700
225,400,710,650
457,450,800,675
361,400,739,650
324,400,802,675
400,300,732,600
182,400,787,701
145,300,717,625
148,500,840,751
225,400,711,651
118,500,800,701
121,400,714,631
384,500,940,850
124,400,833,750
421,500,919,850
123,400,835,760
737,400,751,650
573,400,752,650
560,300,730,630
275,460,800,660
547,400,763,690
500,355,755,650
45,300,679,581
74,351,700,575
