Quantity,MinPrice,MaxPrice,ModePrice
13,1515,2911,2260
13,1521,2780,2500
11,1511,2862,2500
24,1525,2792,2420
11,1500,2742,2420
6,1511,2720,2500
16,1500,2785,2500
10,1515,2790,2510
16,1500,2792,2500
9,1535,2825,2480
17,1500,2780,2480
8,1500,2750,2500
12,1525,3225,2500
15,1525,2890,2250
6,1525,2820,2250
11,1531,2901,2500
11,1562,3250,2500
7,1525,3085,2500
14,1530,3210,2500
7,1545,3060,2500
11,1531,2850,2250
8,1530,2700,2500
7,1535,3800,2500
15,1535,3200,2500
13,1535,2780,2350
20,1525,3000,2500
15,1525,2830,1890
24,1562,2800,2500
11,1521,2750,2500
17,1545,2700,2200
21,1525,2735,2200
12,1535,2750,2400
12,1535,2700,2200
19,1535,2750,2300
2,1400,2700,2000
12,1400,8101,2200
1,1400,2200,2000
22,1535,2791,2400
10,1525,2700,2200
11,1565,3000,2220
9,1545,2920,2500
11,1565,2892,2200
6,1545,2700,2280
8,1535,3000,2200
26,1525,2750,2250
9,1535,2750,2280
17,1535,2780,2200
8,1525,2750,2270
19,1511,2765,2200
25,1525,2800,2200
8,1535,3400,2720
17,1545,3000,2250
21,1550,3050,2200
17,1540,2951,2250
20,1536,2750,2520
17,1535,2700,2150
3,1450,3200,2700
2,1800,4500,3400
1,2400,5252,3000
