Quantity,MinPrice,MaxPrice,ModePrice
281,1300,1550,1400
345,400,1600,1350
340,300,1700,1300
319,400,1500,1200
383,300,1600,1300
309,350,1450,1200
338,300,1350,1150
406,325,1900,1300
400,400,1600,1130
362,200,1500,1100
391,300,1550,1200
314,200,1300,1050
157,370,1500,1130
165,300,1450,1100
278,275,1450,1075
225,275,1475,1125
378,350,1500,1150
246,375,1225,1125
289,325,1450,1100
343,300,1300,1000
446,450,1400,1100
250,360,1275,975
374,400,1330,1130
161,130,900,650
125,100,900,600
469,200,1000,675
286,200,930,680
271,250,910,700
288,190,901,650
444,201,850,670
284,180,751,600
262,190,825,620
137,180,800,600
160,150,811,611
191,155,851,605
179,190,900,650
144,180,801,600
182,120,875,615
225,100,861,605
205,170,910,655
236,190,920,670
354,180,850,650
236,150,810,600
177,130,700,450
237,180,850,500
154,150,800,550
147,180,850,600
197,100,900,500
223,110,800,510
168,150,911,540
196,130,900,560
179,150,1000,600
171,160,890,550
218,170,950,600
184,150,900,580
193,120,850,500
217,130,900,525
266,110,800,450
209,130,851,550
251,400,950,700
169,200,900,650
212,170,950,640
37,200,1000,700
216,100,851,500
160,130,900,550
80,110,850,450
137,100,800,500
137,100,800,500
217,150,850,520
298,200,900,750
185,150,910,650
152,200,950,700
