Quantity,ModePrice,City
281,1400,Nasik
345,1350,Nasik
340,1300,Nasik
319,1200,Nasik
383,1300,Nasik
309,1200,Nasik
338,1150,Nasik
406,1300,Nasik
400,1130,Nasik
362,1100,Nasik
391,1200,Nasik
314,1050,Nasik
157,1130,Nasik
165,1100,Nasik
278,1075,Nasik
225,1125,Nasik
378,1150,Nasik
246,1125,Nasik
289,1100,Nasik
343,1000,Nasik
446,1100,Nasik
250,975,Nasik
374,1130,Nasik
161,650,Nasik
125,600,Nasik
469,675,Nasik
286,680,Nasik
271,700,Nasik
288,650,Nasik
444,670,Nasik
284,600,Nasik
262,620,Nasik
137,600,Nasik
160,611,Nasik
191,605,Nasik
179,650,Nasik
144,600,Nasik
182,615,Nasik
225,605,Nasik
205,655,Nasik
2598,700,Pune
2598,800,Pune
2598,800,Pune
2598,800,Pune
2598,700,Pune
2598,800,Pune
2598,700,Pune
2598,650,Pune
2598,600,Pune
2598,700,Pune
2598,700,Pune
2598,700,Pune
2598,700,Pune
2598,600,Pune
2598,700,Pune
2598,600,Pune
2598,600,Pune
2598,650,Pune
2598,700,Pune
2598,700,Pune
2598,600,Pune
2598,800,Pune
2598,800,Pune
2598,600,Pune
2598,660,Pune
2598,630,Pune
2598,730,Pune
2598,930,Pune
2598,680,Pune
2598,660,Pune
1775,1700,Pune
1848,1600,Pune
1327,1500,Pune
1392,1600,Pune
1345,1600,Pune
1329,1600,Pune
1586,1500,Pune
1312,1500,Pune
1019,1500,Pune
1185,1400,Pune
849,500,Solapur
1084,550,Solapur
1760,500,Solapur
2068,500,Solapur
2079,500,Solapur
1774,500,Solapur
889,500,Solapur
1522,500,Solapur
2179,450,Solapur
2107,450,Solapur
1743,450,Solapur
1548,450,Solapur
1438,450,Solapur
1081,450,Solapur
1586,450,Solapur
1409,450,Solapur
1007,450,Solapur
1201,500,Solapur
1254,500,Solapur
848,500,Solapur
1289,500,Solapur
1393,500,Solapur
1518,500,Solapur
2444,1200,Solapur
2726,1150,Solapur
2582,1050,Solapur
2676,1000,Solapur
2731,1000,Solapur
2884,1000,Solapur
2749,1000,Solapur
2524,1000,Solapur
2011,1000,Solapur
1872,1000,Solapur
1693,1000,Solapur
1893,900,Solapur
1805,1000,Solapur
1791,1000,Solapur
1747,1000,Solapur
2061,1000,Solapur
1706,900,Solapur
737,650,Lasalgaon
573,650,Lasalgaon
560,630,Lasalgaon
275,660,Lasalgaon
547,690,Lasalgaon
500,650,Lasalgaon
784,581,Lasalgaon
455,575,Lasalgaon
552,580,Lasalgaon
222,560,Lasalgaon
556,560,Lasalgaon
662,560,Lasalgaon
120,630,Lasalgaon
456,560,Lasalgaon
123,721,Lasalgaon
455,620,Lasalgaon
789,751,Lasalgaon
456,671,Lasalgaon
789,751,Lasalgaon
123,700,Lasalgaon
445,700,Lasalgaon
556,610,Lasalgaon
568,700,Lasalgaon
895,620,Lasalgaon
523,600,Lasalgaon
652,550,Lasalgaon
512,525,Lasalgaon
352,500,Lasalgaon
2228,1300,Lasalgaon
1212,1401,Lasalgaon
2354,1251,Lasalgaon
2387,1251,Lasalgaon
2295,1251,Lasalgaon
2318,1200,Lasalgaon
2713,1251,Lasalgaon
452,1251,Lasalgaon
1800,1100,Lasalgaon
2337,1100,Lasalgaon
1957,1050,Lasalgaon
2249,1100,Lasalgaon
