Quantity,MinPrice,MaxPrice,ModePrice
2598,500,900,700
2598,400,900,800
2598,500,900,800
2598,400,900,800
2598,500,900,700
2598,500,950,800
2598,400,850,700
2598,400,850,650
2598,400,800,600
2598,400,850,700
2598,400,800,700
2598,400,800,700
2598,400,800,700
2598,400,800,600
2598,400,800,700
2598,400,750,600
2598,400,800,600
2598,500,850,650
2598,400,850,700
2598,400,850,700
2598,400,900,600
2598,500,950,800
2598,500,950,800
2598,400,700,600
2598,600,700,660
2598,500,700,630
2598,600,800,730
2598,800,1000,930
2598,650,700,680
2598,600,700,660
1775,500,2000,1700
1848,700,1800,1600
1327,500,1800,1500
1392,600,1800,1600
1345,700,1800,1600
1329,600,1800,1600
1586,500,1700,1500
1312,500,1700,1500
1019,500,1700,1500
1185,500,1600,1400
950,500,1600,1300
669,500,1600,1400
761,700,1800,1600
1276,700,1800,1500
1551,600,1800,1600
1178,700,1700,1500
1293,700,1700,1500
1479,700,1700,1500
1716,700,1700,1400
1263,700,1700,1500
1358,700,1700,1500
1539,700,1800,1500
1697,500,1600,1400
1901,500,1600,1400
1715,500,950,800
146,400,900,750
2498,400,900,700
2287,400,800,700
1957,400,800,700
1387,500,850,750
1278,500,900,800
1682,400,850,700
1340,500,850,700
1494,400,800,600
1167,400,800,700
1232,400,800,700
1547,400,800,700
1683,400,800,700
1088,400,800,700
725,500,900,700
1069,500,900,800
925,400,900,700
1113,500,900,800
1764,400,900,800
550,800,850,830
455,600,900,800
555,600,900,800
456,600,800,730
785,700,800,760
495,700,800,760
445,600,700,660
654,700,800,760
456,700,700,700
896,600,700,650
475,700,700,700
889,720,750,740
985,700,700,700
