Quantity,MinPrice,MaxPrice,ModePrice
45,1700,3000,2700
18,2000,3000,2700
30,1700,3000,2700
71,1700,3000,2700
24,1700,3200,2700
20,1700,3000,2700
26,1700,3000,2700
22,1700,3000,2700
27,1700,3000,2700
48,1700,3000,2700
45,2000,3000,2600
34,1700,3000,2700
16,1700,3000,2700
23,1700,3000,2700
46,1700,3000,2500
67,1700,3000,2700
43,1700,2700,2500
23,2000,2800,2600
21,2100,2800,2600
15,1700,2801,2500
24,1750,2800,2500
32,1800,2800,2400
17,1700,2800,2500
28,1800,2800,2500
13,1800,2800,2500
5,1800,2800,2500
6,1700,2700,2500
34,2000,2800,2500
80,1700,2800,2500
120,1700,2700,2550
154,2050,3000,2750
87,1950,2800,2400
48,1700,2700,2500
46,2050,2700,2500
112,1800,2800,2500
77,1800,2800,2500
42,1800,2800,2500
43,2000,2800,2500
117,1700,2700,2500
61,1700,2900,2500
242,1800,2800,2500
44,2000,2800,2500
11,2000,2700,2400
131,2000,2800,2500
77,1750,2750,2500
35,2000,2800,2500
81,1700,2700,2500
65,2100,2800,2500
22,2000,2800,2500
21,1700,2700,2500
45,2000,2800,2500
60,1700,3000,2700
25,1700,2800,2500
26,1700,2800,2500
19,2000,2800,2500
70,2100,2800,2500
50,1700,2800,2500
9,2100,2800,2700
14,1700,2800,2500
12,1700,2800,2500
53,1700,2800,2500
45,2000,2800,2500
58,1700,2900,2500
40,1700,2800,2500
66,1700,2700,2500
108,1800,2800,2400
69,2100,2800,2500
41,2000,2800,2500
40,2000,2800,2500
38,1700,2800,2500
29,1700,2800,2500
5,1700,2800,2500
41,1700,3000,2700
