Quantity,MinPrice,MaxPrice,ModePrice
2,1438,2089,1700
2,1459,2382,1761
2,1430,1999,1751
2,1441,2000,1750
2,1500,2102,1818
2,1570,1999,1900
2,1600,2075,1925
2,1570,1966,1680
2,1550,1942,1750
2,1616,1900,1700
2,1430,1856,1600
2,1450,2101,1670
2,1611,1926,1741
3,1550,1774,1650
2,1500,2153,1701
3,1500,2000,1701
2,1591,2001,1692
3,1500,2001,1701
2,1500,2040,1661
2,1425,2102,1820
1,1580,1980,1700
2,1529,2148,1652
2,1460,2055,1661
3,1598,1620,1601
3,1591,2026,1675
3,1559,1912,1656
2,1500,1868,1639
3,1551,1700,1620
2,1500,1951,1681
2,1551,1860,1600
2,1471,1740,1600
2,1570,1976,1751
3,1550,1900,1600
2,1515,1750,1581
2,1548,1913,1600
2,1546,2000,1598
2,1471,1905,1599
2,1470,1920,1617
2,1460,1591,1545
2,1570,1941,1625
2,1590,1800,1600
2,1580,1801,1620
2,1593,1725,1622
3,1440,1784,1671
2,1551,1700,1621
2,1606,1863,1750
2,1567,2175,1935
2,1611,2052,2025
