Quantity,MinPrice,MaxPrice,ModePrice
849,100,1050,500
1084,100,1200,550
1760,100,1025,500
2068,100,1000,500
2079,100,1000,500
1774,100,970,500
889,100,1100,500
1522,100,1000,500
2179,200,875,450
2107,100,900,450
1743,100,900,450
1548,100,950,450
1438,100,900,450
1081,100,980,450
1586,100,1000,450
1409,100,1000,450
1007,100,1000,450
1201,100,1050,500
1254,100,1060,500
848,100,1050,500
1289,100,1100,500
1393,100,1000,500
1518,100,1010,500
2444,200,2450,1200
2726,150,2400,1150
2582,100,2325,1050
2676,100,2300,1000
2731,100,2325,1000
2884,100,2200,1000
2749,100,2200,1000
2524,100,2225,1000
2011,100,2275,1000
1872,100,2300,1000
1693,100,2350,1000
1893,100,2250,900
1805,100,2360,1000
1791,100,2350,1000
1747,100,2350,1000
2061,100,2400,1000
1706,100,2150,900
1942,100,2175,700
1775,100,2100,650
1655,100,2125,650
2067,100,1030,500
2128,100,1000,500
16,100,1000,500
1519,100,950,500
1663,100,1100,500
1916,100,1000,500
1684,100,1025,500
2113,100,960,475
2178,100,900,450
2174,100,950,475
2268,100,925,450
2015,100,1000,500
2041,100,900,450
2035,100,850,450
1703,100,850,450
1797,50,800,400
1241,50,850,400
1370,50,910,450
880,50,1040,500
914,100,1025,500
1271,100,1100,550
2281,100,1000,500
1537,100,1010,500
950,100,1000,500
