Quantity,MinPrice,MaxPrice,ModePrice
7,2205,2900,2390
14,2200,2905,2390
8,2203,2900,2380
56,2190,2890,2375
3,2195,2895,2380
3,2210,2890,2360
6,2200,2850,2350
8,2205,2845,2350
10,2200,2840,2345
22,2205,2845,2350
14,2210,2850,2350
36,2205,2850,2350
9,2210,2840,2345
9,2200,2845,2300
80,2205,2850,2305
35,2210,2855,2310
99,2210,2840,2300
10,2210,2835,2300
15,2215,2830,2305
10,2210,2820,2300
80,2210,2800,2305
44,2215,2795,2295
45,2201,2790,2290
26,2215,2785,2295
4,2210,2750,2285
14,2200,2750,2280
25,2210,2745,2275
13,2205,2740,2270
60,2205,2650,2280
39,2205,2640,2270
9,2210,2635,2270
12,2205,2630,2265
1,2300,2625,2300
1,2205,2625,2260
50,2100,2610,2270
56,2105,2605,2275
20,2110,2600,2200
10,1945,2605,2285
21,2170,2600,2290
66,2180,2605,2300
12,2165,2610,2290
12,2170,2625,2295
21,2076,2640,2305
7,2155,2645,2310
16,2150,2650,2305
11,2140,2635,2310
14,2135,2640,2315
17,1951,2645,2310
15,1891,2650,2315
36,2155,2645,2310
12,2160,2650,2305
6,2150,2645,2295
6,2145,2650,2300
10,2200,2910,2400
