Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aarni,01-02-2016,1,Other,8000,8400,8200
,02-02-2016,55,Other,7500,8200,8000
,03-02-2016,72,Other,7500,8400,8200
,04-02-2016,70,Other,7500,8300,7800
,05-02-2016,60,Other,7500,8391,8000
,08-02-2016,15,Other,7500,8600,8400
,09-02-2016,31,Other,7700,8800,8500
,10-02-2016,102,Other,7500,8600,8400
,11-02-2016,68,Other,7500,8450,8100
,12-02-2016,36,Other,7500,8370,8000
,17-02-2016,60,Other,7500,8270,8000
,18-02-2016,70,Other,7500,7900,7650
,22-02-2016,72,Other,7580,7710,7600
,24-02-2016,70,Other,7500,8011,7900
,26-02-2016,51,Other,7500,8200,8000
,29-02-2016,36,Other,7500,7996,7800
Achalpur,01-02-2016,80,Other,7800,8000,8000
,02-02-2016,45,Other,7800,8100,8000
,03-02-2016,20,Other,8000,8100,8000
,04-02-2016,200,Other,7300,8350,7800
,05-02-2016,45,Other,7500,8450,8155
,06-02-2016,50,Other,7400,8000,7800
,08-02-2016,114,Other,7750,8000,7900
,09-02-2016,167,Other,8000,8400,8230
,10-02-2016,10,Other,8200,8800,8455
,11-02-2016,250,Other,7800,8900,8350
,12-02-2016,179,Other,8300,8850,8525
,15-02-2016,20,Other,8000,8350,8100
,16-02-2016,80,Other,8000,8350,8085
,17-02-2016,10,Other,8000,8250,8100
,18-02-2016,300,Other,7801,8350,8100
,23-02-2016,28,Other,7700,8100,7925
,24-02-2016,10,Other,7700,8150,8000
,25-02-2016,15,Other,7800,8400,8150
,26-02-2016,232,Other,7500,8350,7940
,27-02-2016,91,Other,7500,8300,7890
,29-02-2016,60,Other,7800,8100,7900
Aheri,01-02-2016,5,Other,7190,7300,7270
,02-02-2016,3,Other,6850,7160,7050
,03-02-2016,11,Other,7000,7160,7080
,04-02-2016,11,Other,6800,7150,7050
,05-02-2016,11,Other,6900,7160,7100
,06-02-2016,7,Other,6900,7100,7000
,08-02-2016,8,Other,7100,7300,7160
,09-02-2016,5,Other,7000,7300,7200
,10-02-2016,5,Other,7200,7200,7200
,11-02-2016,10,Other,7100,7200,7150
,13-02-2016,16,Other,6900,7200,7150
,15-02-2016,5,Other,6850,7250,7150
,16-02-2016,4,Other,6920,7150,7000
,17-02-2016,18,Other,7100,7100,7100
,20-02-2016,9,Other,6500,7000,6850
Ahmednagar,02-02-2016,1,Other,6500,7000,6750
,03-02-2016,4,Other,6500,7700,7210
,04-02-2016,1,Other,6500,7500,7315
,05-02-2016,5,Other,6000,7500,7005
,06-02-2016,1,Other,6500,7500,7325
,17-02-2016,3,Other,5800,6800,6400
,20-02-2016,1,Other,6500,7500,7215
,23-02-2016,1,Other,5500,7200,6700
Ahmedpur,01-02-2016,6,Other,7900,8850,8850
,02-02-2016,2,Other,7500,8800,8800
,03-02-2016,2,Other,8300,8730,8730
,04-02-2016,2,Other,8250,8600,8600
,05-02-2016,3,Other,8300,8700,8700
,06-02-2016,4,Other,8300,8600,8600
,09-02-2016,4,Other,8400,8700,8700
,10-02-2016,2,Other,8400,8700,8700
,11-02-2016,2,Other,8475,8600,8600
,12-02-2016,4,Other,8501,8671,8671
,13-02-2016,3,Other,8300,8580,8560
,16-02-2016,1,Other,7800,8605,8605
,17-02-2016,1,Other,8100,8440,8440
,18-02-2016,2,Other,8000,8250,8250
,20-02-2016,2,Other,7951,8151,8151
,22-02-2016,1,Other,7950,8000,8000
,24-02-2016,2,Other,8035,8200,8200
,25-02-2016,2,Other,8000,8150,8150
,26-02-2016,4,Other,7500,8245,8245
,29-02-2016,4,Other,7900,8200,8200
Akhadabalapur,03-02-2016,4,Other,7500,8000,7750
,06-02-2016,4,Other,7500,8000,7750
,10-02-2016,5,Other,7500,8000,7750
,12-02-2016,5,Other,7500,8000,7750
,13-02-2016,6,Other,7500,8000,7750
,15-02-2016,12,Other,7500,8000,7750
,19-02-2016,4,Other,7000,7500,7250
,26-02-2016,3,Other,7500,8000,7750
Akkalkot,02-02-2016,18,Other,8500,9000,8800
,03-02-2016,6,Other,8400,8650,8500
,04-02-2016,5,Other,8200,8800,8500
,05-02-2016,5,Other,8500,8850,8700
,09-02-2016,13,Other,8200,8900,8600
,10-02-2016,2,Other,8100,8900,8500
,12-02-2016,7,Other,8500,8900,8800
,16-02-2016,9,Other,7800,8800,8600
,17-02-2016,1,Other,7800,8200,8000
,18-02-2016,1,Other,8000,8300,8200
,22-02-2016,4,Other,7800,8200,7900
,25-02-2016,1,Other,8000,8500,8200
,29-02-2016,7,Other,7700,8400,8000
Akkalkuwa,08-02-2016,22,Other,6700,7500,7000
Akola,01-02-2016,178,Other,7800,8800,8250
,02-02-2016,140,Other,7800,8600,8250
,03-02-2016,102,Other,7750,8300,8025
,04-02-2016,141,Other,7900,8530,8200
,05-02-2016,442,Other,7500,8665,8050
,06-02-2016,136,Other,7550,8700,8150
,08-02-2016,134,Other,7500,8600,8000
,09-02-2016,139,Other,7700,8745,8300
,10-02-2016,171,Other,8195,8900,8550
,11-02-2016,118,Other,8100,8900,8500
,12-02-2016,126,Other,7900,8790,8345
,13-02-2016,179,Other,7950,8785,8370
,15-02-2016,86,Other,7600,8500,8050
,16-02-2016,178,Other,7650,8545,8100
,17-02-2016,192,Other,7500,8790,7995
,20-02-2016,98,Other,7400,8355,7880
,22-02-2016,63,Other,6510,7960,7500
