Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aarni,01-01-2016,64,Other,7000,9099,8500
,02-01-2016,73,Other,7000,9171,8500
,04-01-2016,94,Other,8000,9700,9000
,05-01-2016,85,Other,8000,10000,9400
,06-01-2016,75,Other,8000,9650,9000
,07-01-2016,61,Other,8000,9295,8500
,08-01-2016,69,Other,8500,9125,8700
,11-01-2016,76,Other,8500,9550,9000
,12-01-2016,80,Other,8500,9420,9000
,13-01-2016,91,Other,8500,9300,9000
,14-01-2016,78,Other,8500,9400,9000
,15-01-2016,102,Other,8300,9201,8600
,25-01-2016,90,Other,8000,9100,8700
,27-01-2016,95,Other,8000,9200,8650
,28-01-2016,88,Other,8000,9070,8500
,29-01-2016,48,Other,8000,8700,8400
Achalpur,01-01-2016,135,Other,7301,8000,7550
,02-01-2016,35,Other,7301,8200,7650
,04-01-2016,85,Other,7500,9000,8300
,05-01-2016,48,Other,8000,9350,8425
,06-01-2016,50,Other,8000,9300,8500
,07-01-2016,250,Other,8000,9470,8580
,09-01-2016,50,Other,8000,8900,8400
,11-01-2016,20,Other,8000,9000,8450
,12-01-2016,200,Other,8000,9000,8565
,13-01-2016,191,Other,8000,9000,8500
,14-01-2016,250,Other,8500,9100,8845
,15-01-2016,150,Other,8500,9100,8840
,16-01-2016,143,Other,8500,9100,8890
,18-01-2016,175,Other,8500,8811,8700
,19-01-2016,107,Other,8700,8800,8760
,20-01-2016,40,Other,8700,8800,8745
,21-01-2016,300,Other,7500,8351,7850
,22-01-2016,50,Other,7500,8300,7855
,23-01-2016,50,Other,8000,8200,8000
,25-01-2016,146,Other,8000,8980,8625
,26-01-2016,100,Other,8000,8900,8500
,27-01-2016,17,Other,8000,8900,8525
,28-01-2016,200,Other,7851,8800,8425
,29-01-2016,70,Other,7800,8800,8310
,30-01-2016,45,Other,8000,8650,8300
Aheri,06-01-2016,1,Other,7000,7000,7000
,07-01-2016,2,Other,7500,7500,7500
,11-01-2016,8,Other,7900,8500,8000
,12-01-2016,3,Other,8500,8500,8500
,13-01-2016,8,Other,7900,8500,8100
,14-01-2016,9,Other,8000,8500,8300
,15-01-2016,2,Other,8300,8300,8300
,16-01-2016,3,Other,8100,8100,8100
,18-01-2016,6,Other,8500,8500,8500
,19-01-2016,5,Other,8300,8300,8300
,20-01-2016,10,Other,7500,7800,7600
,21-01-2016,5,Other,7600,7600,7600
,23-01-2016,13,Other,7500,7800,7650
,25-01-2016,12,Other,7500,7800,7600
,27-01-2016,12,Other,7600,7900,7800
,29-01-2016,16,Other,7500,8100,7900
,30-01-2016,28,Other,7600,7900,7800
Ahmednagar,01-01-2016,3,Other,6700,7900,7355
,02-01-2016,2,Other,6000,7900,7500
,06-01-2016,3,Other,6900,8850,7900
,11-01-2016,4,Other,7300,8400,7900
,12-01-2016,3,Other,7700,8600,8215
,13-01-2016,4,Other,7000,8600,7855
,14-01-2016,1,Other,7500,8500,8100
,16-01-2016,3,Other,7000,8700,7950
,18-01-2016,3,Other,6500,8500,7900
,19-01-2016,3,Other,7500,8500,8200
,20-01-2016,1,Other,6000,7400,6900
,21-01-2016,1,Other,7500,8500,8200
,22-01-2016,1,Other,7300,8000,7650
,23-01-2016,8,Other,6851,8100,7975
,25-01-2016,3,Other,7600,8400,8135
,27-01-2016,10,Other,7700,8300,8115
,30-01-2016,2,Other,7000,8200,7900
Ahmedpur,01-01-2016,3,Other,8650,8816,8816
,02-01-2016,10,Other,8600,9100,9100
,04-01-2016,8,Other,8751,9300,9300
,05-01-2016,7,Other,9600,10000,10000
,06-01-2016,4,Other,9700,9900,9900
,07-01-2016,4,Other,9400,9620,9620
,11-01-2016,5,Other,9350,9460,9460
,13-01-2016,4,Other,9380,9561,9561
,14-01-2016,7,Other,9280,9350,9350
,18-01-2016,13,Other,9000,9400,9400
,19-01-2016,7,Other,9000,9200,9200
,20-01-2016,7,Other,9000,9161,9161
,21-01-2016,6,Other,8800,9100,9100
,22-01-2016,7,Other,8900,9050,9050
,23-01-2016,4,Other,8401,9051,9051
,25-01-2016,9,Other,9170,9375,9375
,27-01-2016,7,Other,9241,9375,9375
,29-01-2016,11,Other,8900,9130,9130
,30-01-2016,7,Other,8700,9110,9110
Akhadabalapur,04-01-2016,5,Other,6000,6500,6250
