Quantity,ModePrice,City
20,2700,Kolhapur
20,2700,Kolhapur
20,2700,Kolhapur
25,2700,Kolhapur
25,2700,Kolhapur
20,2700,Kolhapur
25,2700,Kolhapur
30,2700,Kolhapur
25,2700,Kolhapur
20,2700,Kolhapur
20,2700,Kolhapur
20,2700,Kolhapur
30,2600,Kolhapur
25,2600,Kolhapur
23,2700,Kolhapur
25,2700,Kolhapur
22,2700,Kolhapur
29,2700,Kolhapur
27,2700,Kolhapur
13,2260,Latur
13,2500,Latur
11,2500,Latur
24,2420,Latur
11,2420,Latur
6,2500,Latur
16,2500,Latur
10,2510,Latur
16,2500,Latur
9,2480,Latur
17,2480,Latur
8,2500,Latur
12,2500,Latur
15,2250,Latur
6,2250,Latur
11,2500,Latur
11,2500,Latur
7,2500,Latur
14,2500,Latur
11,2250,Latur
45,2700,Sangli
18,2700,Sangli
30,2700,Sangli
71,2700,Sangli
24,2700,Sangli
20,2700,Sangli
26,2700,Sangli
22,2700,Sangli
27,2700,Sangli
48,2700,Sangli
45,2600,Sangli
34,2700,Sangli
16,2700,Sangli
23,2700,Sangli
46,2500,Sangli
67,2700,Sangli
43,2500,Sangli
23,2600,Sangli
21,2600,Sangli
15,2500,Sangli
2,1700,Satara
2,1761,Satara
2,1751,Satara
2,1750,Satara
2,1818,Satara
2,1900,Satara
2,1925,Satara
2,1680,Satara
2,1750,Satara
2,1700,Satara
2,1600,Satara
2,1670,Satara
2,1741,Satara
3,1650,Satara
2,1701,Satara
3,1701,Satara
2,1692,Satara
3,1701,Satara
2,1661,Satara
2,1820,Satara
7,2390,Solapur
14,2390,Solapur
8,2380,Solapur
56,2375,Solapur
3,2380,Solapur
3,2360,Solapur
6,2350,Solapur
8,2350,Solapur
10,2345,Solapur
22,2350,Solapur
14,2350,Solapur
36,2350,Solapur
9,2345,Solapur
9,2300,Solapur
80,2305,Solapur
35,2310,Solapur
99,2300,Solapur
10,2300,Solapur
15,2305,Solapur
10,2300,Solapur
25,2750,Kolhapur
20,2750,Kolhapur
20,2750,Kolhapur
22,2750,Kolhapur
25,2750,Kolhapur
25,2750,Kolhapur
25,2750,Kolhapur
20,2750,Kolhapur
20,2750,Kolhapur
25,2750,Kolhapur
30,2750,Kolhapur
30,2750,Kolhapur
30,2750,Kolhapur
25,2800,Kolhapur
30,2800,Kolhapur
25,2800,Kolhapur
25,2800,Kolhapur
27,2800,Kolhapur
20,2750,Kolhapur
25,2750,Kolhapur
11,2250,Latur
8,2500,Latur
7,2500,Latur
15,2500,Latur
13,2350,Latur
20,2500,Latur
15,1890,Latur
24,2500,Latur
11,2500,Latur
17,2200,Latur
21,2200,Latur
12,2400,Latur
12,2200,Latur
19,2300,Latur
2,2000,Latur
12,2200,Latur
1,2000,Latur
22,2400,Latur
10,2200,Latur
80,2500,Sangli
120,2550,Sangli
154,2750,Sangli
87,2400,Sangli
48,2500,Sangli
46,2500,Sangli
112,2500,Sangli
77,2500,Sangli
42,2500,Sangli
43,2500,Sangli
117,2500,Sangli
61,2500,Sangli
242,2500,Sangli
44,2500,Sangli
11,2400,Sangli
131,2500,Sangli
77,2500,Sangli
35,2500,Sangli
81,2500,Sangli
65,2500,Sangli
22,2500,Sangli
1,1700,Satara
2,1652,Satara
2,1661,Satara
3,1601,Satara
3,1675,Satara
3,1656,Satara
2,1639,Satara
3,1620,Satara
2,1681,Satara
2,1600,Satara
2,1600,Satara
2,1751,Satara
3,1600,Satara
2,1581,Satara
2,1600,Satara
2,1598,Satara
2,1599,Satara
2,1617,Satara
2,1545,Satara
2,1625,Satara
2,1600,Satara
2,1620,Satara
2,1622,Satara
3,1671,Satara
2,1621,Satara
2,1750,Satara
2,1935,Satara
2,2025,Satara
80,2305,Solapur
44,2295,Solapur
45,2290,Solapur
26,2295,Solapur
4,2285,Solapur
14,2280,Solapur
25,2275,Solapur
13,2270,Solapur
60,2280,Solapur
39,2270,Solapur
9,2270,Solapur
12,2265,Solapur
1,2300,Solapur
1,2260,Solapur
50,2270,Solapur
56,2275,Solapur
20,2200,Solapur
10,2285,Solapur
21,2290,Solapur
66,2300,Solapur
12,2290,Solapur
